state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Kuala Lumpur,both,2008,701,682.2,18.8,354,66.4,2.7,58
Kuala Lumpur,female,2008,274.6,268.2,6.4,248.5,52.5,2.3,46.6
Kuala Lumpur,male,2008,426.4,414,12.4,105.4,80.2,2.9,68.9
Labuan,both,2008,34.5,32.5,1.9,21.1,62,5.6,57.3
Labuan,female,2008,10.2,9.5,0.7,16.3,38.6,7.1,34.5
Labuan,male,2008,24.2,23,1.2,4.9,83.3,4.9,78.2
Johor,both,2009,1350,1306.3,43.7,791.8,63,3.2,58.8
Johor,female,2009,467,450.6,16.4,569.8,45,3.5,43.4
Johor,male,2009,883,855.7,27.3,222.1,79.9,3.1,72.2
Kedah,both,2009,732.6,701.5,31.1,496,59.6,4.2,56.9
Kedah,female,2009,264.6,251.5,13.1,357.8,42.5,4.9,41.2
Kedah,male,2009,468,450,18,138.3,77.2,3.8,72.4
Kelantan,both,2009,517.8,505.2,12.6,432.7,54.5,2.4,54
Kelantan,female,2009,188.3,182.9,5.4,290,39.4,2.9,39
Kelantan,male,2009,329.5,322.3,7.2,142.7,69.8,2.2,69
Melaka,both,2009,290.9,284,6.9,186.3,61,2.4,52.9
Melaka,female,2009,109.9,107.6,2.3,128,46.2,2.1,40.2
Melaka,male,2009,180.9,176.3,4.6,58.3,75.6,2.5,65.4
Negeri Sembilan,both,2009,402.2,386.5,15.7,254,61.3,3.9,57.1
Pahang,both,2009,622.3,603.7,18.6,377.8,62.2,3,62.9
Pahang,female,2009,197.6,190.2,7.4,272.9,42,3.8,42.7
Pahang,male,2009,424.7,413.5,11.2,105,80.2,2.6,80.3
Perak,both,2009,923.7,891.6,32.2,583.4,61.3,3.5,58.6
Perak,female,2009,338.8,323.5,15.3,410.9,45.2,4.5,43.4
Perak,male,2009,584.9,568,16.9,172.5,77.2,2.9,73.2
Perlis,both,2009,84.3,81.5,2.8,63,57.2,3.3,53.5
Perlis,female,2009,30.4,29.2,1.1,46.3,39.6,3.8,37.5
Perlis,male,2009,53.9,52.3,1.7,16.7,76.3,3.1,70.2
Penang,both,2009,707.1,689.8,17.3,344.3,67.3,2.5,63.3
Penang,female,2009,295.7,289.3,6.4,241.1,55.1,2.2,53.3
Penang,male,2009,411.5,400.5,11,103.2,79.9,2.7,73.1
Sabah,both,2009,1345.3,1270.6,74.6,721.8,65.1,5.5,58.5
Sabah,female,2009,454.3,430.3,24,546.2,45.4,5.3,41.7
Sabah,male,2009,890.9,840.3,50.6,175.6,83.5,5.7,73.7
Sarawak,both,2009,1024.2,977.5,46.8,529.9,65.9,4.6,61.4
Sarawak,female,2009,372.4,354.6,17.8,387.6,49,4.8,46.8
Sarawak,male,2009,651.9,622.9,29,142.3,82.1,4.5,74.7
Selangor,both,2009,2173.3,2095.3,78,1213.7,64.2,3.6,54.3
Selangor,female,2009,818.9,792.1,26.8,842.8,49.3,3.3,42.9
Selangor,male,2009,1354.4,1303.2,51.2,370.9,78.5,3.8,64.8
Terengganu,both,2009,405.6,390.3,15.3,284.7,58.8,3.8,61
Terengganu,female,2009,138.1,131.7,6.4,195.9,41.4,4.7,42.2
Terengganu,male,2009,267.5,258.6,8.9,88.8,75.1,3.3,78.9
Kuala Lumpur,both,2009,698.3,678.1,20.2,366.6,65.6,2.9,56.3
Kuala Lumpur,female,2009,268.6,261.4,7.2,259.2,50.9,2.7,44.4
Kuala Lumpur,male,2009,429.7,416.7,13,107.4,80,3,67.7
Labuan,both,2009,37.6,35.5,2.1,19.6,65.8,5.6,60.9
Labuan,female,2009,12.1,11.4,0.7,15.1,44.5,5.7,40.4
Labuan,male,2009,25.5,24.1,1.4,4.4,85.2,5.5,79.8
Johor,both,2010,1453.5,1418.8,34.7,819,64,2.4,62.4
Johor,female,2010,457.2,447.1,10.2,601.3,43.2,2.2,42.2
Johor,male,2010,996.3,971.7,24.6,217.6,82.1,2.5,80.1
Kedah,both,2010,746.9,725.7,21.2,508.9,59.5,2.8,57.7
Kedah,female,2010,256.3,248.2,8.1,364.6,41.3,3.2,39.9
Kedah,male,2010,490.6,477.5,13.1,144.3,77.3,2.7,75
Kelantan,both,2010,547.2,534.2,13.1,412.1,57,2.4,55.6
Kelantan,female,2010,200,195.1,4.9,279.3,41.7,2.5,40.6
Kelantan,male,2010,347.2,339.1,8.1,132.8,72.3,2.3,70.6
Melaka,both,2010,338.6,335.1,3.5,216.1,61,1,60.4
Melaka,female,2010,127.6,126,1.6,148.8,46.2,1.3,45.6
Melaka,male,2010,211,209.1,1.9,67.4,75.8,0.9,75.1
Negeri Sembilan,both,2010,418.3,405.4,12.9,274.9,60.3,3.1,58.5
Pahang,both,2010,608.4,591,17.5,368.6,62.3,2.9,60.5
Pahang,female,2010,194.4,185.6,8.8,257.9,43,4.5,41.1
Pahang,male,2010,414.1,405.4,8.7,110.8,78.9,2.1,77.3
Perak,both,2010,906,878.7,27.3,642.3,58.5,3,56.7
Perak,female,2010,304.3,293.3,11.1,453.1,40.2,3.6,38.6
Perak,male,2010,601.7,585.4,16.2,189.1,76.1,2.7,73.9
Perlis,both,2010,83.6,80.9,2.8,72.6,53.5,3.3,51.6
Perlis,female,2010,27.9,27.1,0.8,52.2,34.8,2.9,33.7
Perlis,male,2010,55.7,53.8,1.9,20.4,73.2,3.5,70.5
Penang,both,2010,759,742.3,16.7,352.3,68.3,2.2,66.7
Penang,female,2010,310.2,302.9,7.3,242,56.2,2.4,54.7
Penang,male,2010,448.8,439.4,9.3,110.3,80.3,2.1,78.5
Sabah,both,2010,1480.7,1398.6,82.1,765.5,65.9,5.5,62.3
Sabah,female,2010,477.7,454.2,23.5,587.1,44.9,4.9,42.6
Sabah,male,2010,1003,944.4,58.6,178.3,84.9,5.8,80
Sarawak,both,2010,1093.7,1045.6,48.1,534.8,67.2,4.4,64.1
Sarawak,female,2010,386.5,367.1,19.4,386.5,50,5,47.4
Sarawak,male,2010,707.2,678.5,28.7,148.3,82.7,4.1,79.3
Selangor,both,2010,2634.4,2551.1,83.2,1349.7,66.1,3.2,64.8
Selangor,female,2010,994.2,954.1,40.2,910.1,52.2,4,50.8
Selangor,male,2010,1640.2,1597.1,43.1,439.6,78.9,2.6,77.6
Terengganu,both,2010,380.6,366.6,14.1,272.1,58.3,3.7,56.1
Terengganu,female,2010,129.3,124.2,5,188.8,40.6,3.9,38.9
Terengganu,male,2010,251.3,242.3,9,83.3,75.1,3.6,72.3
Kuala Lumpur,both,2010,812.9,788,24.9,414.3,66.2,3.1,64.1
Kuala Lumpur,female,2010,325.3,315.6,9.7,274.2,54.3,3,52.5
Kuala Lumpur,male,2010,487.6,472.5,15.1,140.1,77.7,3.1,75.2
Labuan,both,2010,40,37.6,2.4,19.7,67,6,63
Labuan,female,2010,13.8,13.1,0.7,15.1,47.7,4.7,45.3
Labuan,male,2010,26.2,24.5,1.7,4.6,85.1,6.7,79
Johor,both,2011,1499.9,1461.9,38,816.3,64.8,2.5,63.1
Johor,female,2011,486.4,474,12.4,593.9,45,2.6,43.9
Johor,male,2011,1013.5,987.9,25.5,222.5,82,2.5,79.9
Kedah,both,2011,770,743.4,26.6,512,60.1,3.5,57.9
Kedah,female,2011,267.4,257.5,9.9,365.3,42.3,3.7,40.6
Kedah,male,2011,502.5,485.8,16.7,146.8,77.4,3.3,74.7
Kelantan,both,2011,555.4,544.6,10.8,431.7,56.3,2,55
Kelantan,female,2011,205.4,201.8,3.5,288.5,41.6,1.7,40.8
Kelantan,male,2011,350.1,342.8,7.3,143.2,71,2.1,69.2
Melaka,both,2011,343.3,340.8,2.5,222.8,60.6,0.7,60.2
Melaka,female,2011,133.4,132.1,1.3,148.8,47.3,1,46.8
Melaka,male,2011,209.9,208.7,1.1,74,73.9,0.5,73.5
Negeri Sembilan,both,2011,429.1,416.1,13,280.9,60.4,3,58.6
Pahang,both,2011,624.6,608.4,16.2,377.7,62.3,2.6,60.7
Pahang,female,2011,194.1,187,7.1,269.1,41.9,3.6,40.4
Pahang,male,2011,430.6,421.4,9.2,108.6,79.9,2.1,78.2
Perak,both,2011,944.6,919.7,24.9,631.2,59.9,2.6,58.3
Perak,female,2011,329.9,317.2,12.8,440.8,42.8,3.9,41
Perak,male,2011,614.7,602.6,12.1,190.4,76.4,2,74.8
Perlis,both,2011,86.8,83.3,3.4,71.7,54.8,4,52.5
Perlis,female,2011,29,27.7,1.3,51.8,35.9,4.4,34.2
Perlis,male,2011,57.8,55.6,2.2,19.8,74.4,3.7,71.5
Penang,both,2011,787.5,772.8,14.7,348.8,69.3,1.9,67.9
Penang,female,2011,325.8,318.7,7.1,240.4,57.5,2.2,56.3
Penang,male,2011,461.7,454.1,7.6,108.3,81,1.7,79.5
Sabah,both,2011,1562.5,1474.4,88.1,764.9,67.1,5.6,63.3
Sabah,female,2011,509.7,479.9,29.7,592.4,46.2,5.8,43.5
Sabah,male,2011,1052.8,994.5,58.4,172.5,85.9,5.5,81.1
Sarawak,both,2011,1103.4,1058.1,45.3,566.1,66.1,4.1,63.4
Sarawak,female,2011,384.3,367.3,17,409.2,48.4,4.4,46.3
Sarawak,male,2011,719,690.8,28.3,156.9,82.1,3.9,78.8
Selangor,both,2011,2710.8,2645.2,65.5,1295,67.7,2.4,66
Selangor,female,2011,1031.5,1002.8,28.7,880.1,54,2.8,52.5
Selangor,male,2011,1679.2,1642.4,36.8,414.9,80.2,2.2,78.4
Terengganu,both,2011,403.2,390.3,12.9,269.3,60,3.2,57.9
Terengganu,female,2011,141.5,136.8,4.7,185.6,43.3,3.3,41.6
Terengganu,male,2011,261.7,253.4,8.2,83.7,75.8,3.1,73.3
Kuala Lumpur,both,2011,837.6,812.5,25.1,405.4,67.4,3,65.3
Kuala Lumpur,female,2011,342.2,331.9,10.3,265.8,56.3,3,54.5
Kuala Lumpur,male,2011,495.4,480.6,14.7,139.7,78,3,75.6
Labuan,both,2011,40.3,38.6,1.7,20.5,66.3,4.2,63.5
Labuan,female,2011,14.1,13.4,0.6,15.5,47.6,4.4,45.3
Labuan,male,2011,26.3,25.2,1.1,5,84.1,4.1,81
Putrajaya,both,2011,41.9,41.4,0.5,9.2,82,1.1,80.7
Putrajaya,female,2011,21.9,21.8,0.2,6,78.6,0.9,77.6
Putrajaya,male,2011,19.9,19.7,0.3,3.2,86.1,1.3,84.5
Johor,both,2012,1529.4,1481.5,47.9,821.9,65,3.1,63
Johor,female,2012,494.2,479.2,15,601,45.1,3,43.7
Johor,male,2012,1035.2,1002.3,32.9,220.9,82.4,3.2,79.8
Kedah,both,2012,810.3,786.9,23.4,502,61.7,2.9,59.9
Kedah,female,2012,289.2,279.3,9.9,357.5,44.7,3.4,43.1
Kedah,male,2012,521.1,507.6,13.5,144.4,78.3,2.6,76.2
Kelantan,both,2012,592.3,578.7,13.6,424.8,58.2,2.3,56.7
Kelantan,female,2012,225.1,219.3,5.8,283,44.3,2.6,43
Kelantan,male,2012,367.2,359.4,7.7,141.9,72.1,2.1,70.4
Melaka,both,2012,358.8,357,1.8,218.6,62.1,0.5,61.8
Melaka,female,2012,139.4,138.2,1.2,146.5,48.8,0.9,48.3
Melaka,male,2012,219.4,218.8,0.6,72,75.3,0.3,75.1
Negeri Sembilan,both,2012,455.7,442.1,13.6,264.5,63.3,3,61.4
Pahang,both,2012,650.9,633.1,17.8,371.5,63.7,2.7,61.9
Pahang,female,2012,206.7,197.8,8.9,264.8,43.8,4.3,42
Pahang,male,2012,444.2,435.2,9,106.7,80.6,2,79
Perak,both,2012,955.4,927.1,28.3,647.1,59.6,3,57.8
Perak,female,2012,334.3,321.9,12.4,450.9,42.6,3.7,41
Perak,male,2012,621.1,605.2,15.8,196.2,76,2.6,74
Perlis,both,2012,90.6,87.1,3.5,69.4,56.6,3.9,54.4
Perlis,female,2012,31.9,30.8,1.1,49.2,39.3,3.4,38
Perlis,male,2012,58.8,56.4,2.4,20.2,74.4,4.1,71.1
Penang,both,2012,795.8,779.8,16,358.8,68.9,2,67.4
Penang,female,2012,326.3,318.8,7.5,249.3,56.7,2.3,55.3
Penang,male,2012,469.5,461,8.5,109.5,81.1,1.8,79.5
Sabah,both,2012,1627.9,1537.4,90.5,780.4,67.6,5.6,63.8
Sabah,female,2012,543.6,513.1,30.4,597.2,47.7,5.6,45
Sabah,male,2012,1084.4,1024.3,60.1,183.2,85.5,5.5,80.8
Sarawak,both,2012,1184.9,1143.9,41,523,69.4,3.5,67
Sarawak,female,2012,434.3,419.3,15,377.3,53.5,3.5,51.7
Sarawak,male,2012,750.6,724.6,26,145.7,83.7,3.5,80.9
Selangor,both,2012,2842.6,2776.1,66.6,1226.1,69.9,2.3,68.2
Selangor,female,2012,1100.1,1075.1,25.1,841.4,56.7,2.3,55.3
Selangor,male,2012,1742.5,1701,41.5,384.7,81.9,2.4,79.9
Terengganu,both,2012,401.8,389.6,12.2,284.9,58.5,3,56.7
Terengganu,female,2012,138.6,134.2,4.4,196.6,41.3,3.1,40
Terengganu,male,2012,263.2,255.4,7.9,88.3,74.9,3,72.5
Kuala Lumpur,both,2012,842.9,820.4,22.5,404.2,67.6,2.7,65.6
Kuala Lumpur,female,2012,337.7,328.8,8.9,274.4,55.2,2.6,53.5
Kuala Lumpur,male,2012,505.1,491.5,13.6,129.8,79.6,2.7,77.2
Labuan,both,2012,41.3,39.4,1.9,20.5,66.8,4.6,63.8
Labuan,female,2012,14.3,13.8,0.5,16.1,47.1,3.8,45.1
Labuan,male,2012,27,25.7,1.3,4.4,86,5,81.8
Putrajaya,both,2012,40.9,40.3,0.6,9.7,80.8,1.5,79.3
Putrajaya,female,2012,21.6,21.3,0.3,6.1,78,1.4,76.6
Putrajaya,male,2012,19.3,19,0.3,3.6,84.3,1.5,82.3
Johor,both,2013,1598.9,1553.4,45.4,771.3,67.5,2.8,65.5
Johor,female,2013,562.1,543.3,18.8,546.5,50.7,3.3,49
Johor,male,2013,1036.7,1010.1,26.7,224.8,82.2,2.6,80
Kedah,both,2013,862.8,842.3,20.5,489.9,63.8,2.4,62.2
Kedah,female,2013,323.6,313.1,10.5,340.3,48.7,3.3,47.1
Kedah,male,2013,539.2,529.3,9.9,149.6,78.3,1.8,76.8
Kelantan,both,2013,619.8,602.7,17.1,424.8,59.3,2.8,57.6
Kelantan,female,2013,240.6,232.9,7.7,281.6,46.1,3.2,44.6
Kelantan,male,2013,379.2,369.8,9.4,143.3,72.6,2.5,70.6
Melaka,both,2013,378.3,375.5,2.7,208.3,64.5,0.7,63.9
Melaka,female,2013,153.5,151.8,1.7,136.6,52.9,1.1,52.2
Melaka,male,2013,224.7,223.7,1,71.7,75.8,0.5,75.4
Negeri Sembilan,both,2013,478.9,464.1,14.7,255.1,65.2,3.1,63.2
Pahang,both,2013,678.9,659.8,19.1,361.8,65.2,2.8,63.3
Pahang,female,2013,225.2,216.5,8.8,252.5,47.1,3.9,45.2
Pahang,male,2013,453.6,443.3,10.4,109.3,80.6,2.3,78.6
Perak,both,2013,985.2,947.8,37.3,642.6,60.5,3.8,58.1
Perak,female,2013,341.3,326,15.2,453,43,4.5,40.9
Perak,male,2013,643.9,621.8,22.1,189.6,77.3,3.4,74.6
Perlis,both,2013,97.9,94.3,3.6,64.1,60.4,3.7,58.1
Perlis,female,2013,35.9,34.6,1.3,45.7,44,3.7,42.4
Perlis,male,2013,62.1,59.8,2.3,18.4,77.2,3.7,74.1
Penang,both,2013,826.1,811.9,14.2,363.7,69.4,1.7,68.1
Penang,female,2013,340.2,333.5,6.7,251.7,57.5,2,56.3
Penang,male,2013,485.9,478.4,7.5,112,81.3,1.5,79.9
Sabah,both,2013,1801.7,1706,95.7,767.4,70.1,5.3,66.4
Sabah,female,2013,629.6,593.8,35.9,583.2,51.9,5.7,48.9
Sabah,male,2013,1172.1,1112.2,59.8,184.2,86.4,5.1,82.1
Sarawak,both,2013,1234.2,1188.5,45.7,542.5,69.5,3.7,66.9
Sarawak,female,2013,448,429.1,18.9,389.6,53.5,4.2,51.2
Sarawak,male,2013,786.2,759.4,26.8,152.8,83.7,3.4,80.8
Selangor,both,2013,3006.2,2933.3,72.9,1226.3,71,2.4,69.3
Selangor,female,2013,1192.4,1163.7,28.7,822.5,59.2,2.4,57.8
Selangor,male,2013,1813.8,1769.7,44.2,403.9,81.8,2.4,79.8
Terengganu,both,2013,421.3,407,14.4,280.4,60,3.4,57.9
Terengganu,female,2013,150.9,146,4.9,193,43.9,3.3,42.4
Terengganu,male,2013,270.4,261,9.4,87.4,75.6,3.5,72.7
Kuala Lumpur,both,2013,907.3,877.8,29.5,353.2,72,3.3,69.4
Kuala Lumpur,female,2013,382,367.9,14.1,236.1,61.8,3.7,59.3
Kuala Lumpur,male,2013,525.3,509.9,15.4,117.1,81.8,2.9,79.1
Labuan,both,2013,41.8,40.1,1.7,20.6,67,4.1,64.2
Labuan,female,2013,14.8,14.2,0.5,16.1,47.9,3.5,46.3
Labuan,male,2013,27.1,25.9,1.2,4.5,85.7,4.4,81.4
Putrajaya,both,2013,41.2,40.7,0.5,9.2,81.7,1.2,79.6
Putrajaya,female,2013,22.2,21.9,0.3,5.8,79.3,1.2,77.7
Putrajaya,male,2013,19,18.8,0.2,3.4,84.7,1.2,82.1
Johor,both,2014,1621.1,1579.7,41.4,778.8,67.5,2.6,64.5
Johor,female,2014,569.7,554.8,14.9,554.7,50.7,2.6,48.8
Johor,male,2014,1051.4,1024.9,26.5,224.1,82.4,2.5,78.1
Kedah,both,2014,884.1,859.8,24.3,493.5,64.2,2.7,62.4
Kedah,female,2014,343.2,331.6,11.5,333.2,50.7,3.4,49
Kedah,male,2014,540.9,528.2,12.7,160.2,77.1,2.4,75.3
Kelantan,both,2014,646.2,625.2,21,425.2,60.3,3.3,58
Kelantan,female,2014,261,251.5,9.6,273.4,48.8,3.7,46.8
Kelantan,male,2014,385.2,373.8,11.5,151.8,71.7,3,69.1
Melaka,both,2014,398.3,394.9,3.4,197.2,66.9,0.9,65.9
Melaka,female,2014,163.2,161.5,1.6,131.8,55.3,1,54.5
Melaka,male,2014,235.2,233.4,1.8,65.4,78.2,0.8,77.1
Negeri Sembilan,both,2014,480.9,466.5,14.4,259.4,65,3,62.9
Pahang,both,2014,702.1,683.2,18.9,353.6,66.5,2.7,64.3
Pahang,female,2014,244.6,234.2,10.3,241,50.4,4.2,48
Pahang,male,2014,457.5,449,8.6,112.5,80.3,1.9,78.1
Perak,both,2014,987.2,954.1,33.1,653.3,60.2,3.4,58
Perak,female,2014,354.7,341.4,13.3,449.2,44.1,3.8,42.4
Perak,male,2014,632.6,612.8,19.8,204.1,75.6,3.1,72.9
Perlis,both,2014,98.5,95.2,3.3,65.6,60,3.3,57.9
Perlis,female,2014,35.9,34.5,1.3,46.3,43.7,3.7,41.7
Perlis,male,2014,62.6,60.7,1.9,19.3,76.5,3.1,74.5
Penang,both,2014,852.5,839.2,13.3,348.3,71,1.6,69.8
Penang,female,2014,366.6,359.7,6.9,231.1,61.3,1.9,60.3
Penang,male,2014,485.9,479.5,6.4,117.3,80.6,1.3,79.1
Sabah,both,2014,1831.6,1740.9,90.6,795.1,69.7,4.9,66.3
Sabah,female,2014,652.1,615.2,36.9,591.4,52.4,5.7,49.7
Sabah,male,2014,1179.4,1125.7,53.7,203.7,85.3,4.6,81.2
Sarawak,both,2014,1271.4,1232.2,39.2,537.9,70.3,3.1,68.5
Sarawak,female,2014,469.8,452.8,17.1,383.5,55.1,3.6,53.2
Sarawak,male,2014,801.6,779.5,22.1,154.4,83.8,2.8,82.2
Selangor,both,2014,3096,3033.6,62.4,1221.1,71.7,2,69.9
Selangor,female,2014,1244.9,1217.2,27.7,813.6,60.5,2.2,58.8
Selangor,male,2014,1851.2,1816.4,34.8,407.5,82,1.9,79.9
Terengganu,both,2014,432.8,414.9,17.9,283,60.5,4.1,57.2
Terengganu,female,2014,155.2,149.1,6,196.4,44.1,3.9,42.1
Terengganu,male,2014,277.6,265.7,11.9,86.6,76.2,4.3,71.5
Kuala Lumpur,both,2014,877,852,25,379.3,69.8,2.9,67.1
Kuala Lumpur,female,2014,363.9,352.8,11.1,253,59,3,56.4
Kuala Lumpur,male,2014,513.2,499.2,13.9,126.3,80.2,2.7,77.5
Labuan,both,2014,43,40.8,2.2,20.2,68,5.1,63.4
Labuan,female,2014,15.3,14.6,0.7,16,48.9,4.5,45.5
Labuan,male,2014,27.7,26.2,1.5,4.3,86.6,5.4,81.1
Putrajaya,both,2014,40.8,40.3,0.5,9.5,81.2,1.2,79.6
Putrajaya,female,2014,22.4,22.2,0.2,5.5,80.3,1,79
Putrajaya,male,2014,18.4,18.1,0.2,4,82.3,1.3,80.8
Johor,both,2015,1633.2,1582.6,50.6,799.9,67.1,3.1,63.5
Johor,female,2015,581.5,559.3,22.2,561.1,50.9,3.8,48.3
Johor,male,2015,1051.6,1023.3,28.3,238.8,81.5,2.7,76.7
Kedah,both,2015,905.3,881.6,23.7,496.5,64.6,2.6,62.6
Kedah,female,2015,356.7,346.5,10.2,330.9,51.9,2.9,50.1
Kedah,male,2015,548.6,535.1,13.5,165.6,76.8,2.5,74.7
Kelantan,both,2015,676.2,652.1,24.1,415.3,61.9,3.6,59
Kelantan,female,2015,269.2,258.1,11.1,274.9,49.5,4.1,47
Kelantan,male,2015,407,394,13,140.4,74.4,3.2,70.9
Melaka,both,2015,402.4,398.3,4.1,201.6,66.6,1,64.9
Melaka,female,2015,166.5,164.5,2,132.6,55.7,1.2,54.2
Melaka,male,2015,235.8,233.8,2,69,77.4,0.9,75.4
Negeri Sembilan,both,2015,483.6,468.7,14.9,262,64.9,3.1,62.5
Pahang,both,2015,718.2,697.5,20.6,349.4,67.3,2.9,64.8
Pahang,female,2015,253.4,243.7,9.7,237.8,51.6,3.8,49.3
Pahang,male,2015,464.7,453.8,10.9,111.6,80.6,2.4,77.9
Perak,both,2015,1014.3,981.8,32.5,636.8,61.4,3.2,59.1
Perak,female,2015,370.6,357.6,13,437.3,45.9,3.5,44.1
Perak,male,2015,643.7,624.2,19.5,199.6,76.3,3,73.5
Perlis,both,2015,101.1,98.2,3,64.7,61,2.9,59
Perlis,female,2015,36.8,35.8,1,45.9,44.5,2.7,42.8
Perlis,male,2015,64.3,62.3,2,18.9,77.3,3.1,75.2
Penang,both,2015,848.1,834.2,14,365.8,69.9,1.6,68.3
Penang,female,2015,355.1,350.5,4.6,246.9,59,1.3,57.7
Penang,male,2015,493.1,483.7,9.3,118.9,80.6,1.9,78.8
Sabah,both,2015,1863.4,1771.1,92.3,815.9,69.5,5,66.3
Sabah,female,2015,650.1,616.2,34,619.7,51.2,5.2,48.7
Sabah,male,2015,1213.3,1155,58.3,196.2,86.1,4.8,82.2
Sarawak,both,2015,1258.3,1214.8,43.5,581.4,68.4,3.5,66.2
Sarawak,female,2015,454.3,438.6,15.7,413.4,52.4,3.5,50.6
Sarawak,male,2015,804,776.2,27.8,168.1,82.7,3.5,80.2
Selangor,both,2015,3212.9,3135,77.9,1183.6,73.1,2.4,70.7
Selangor,female,2015,1331.3,1292.8,38.4,768.3,63.4,2.9,61.2
Selangor,male,2015,1881.6,1842.2,39.5,415.3,81.9,2.1,79.5
Terengganu,both,2015,438,420.5,17.5,293.4,59.9,4,56.8
Terengganu,female,2015,159.4,153.4,5.9,201.2,44.2,3.7,42.4
Terengganu,male,2015,278.6,267,11.5,92.2,75.1,4.1,70.6
Kuala Lumpur,both,2015,882.6,853.4,29.1,369.6,70.5,3.3,65.6
Kuala Lumpur,female,2015,364.3,351.1,13.2,251.3,59.2,3.6,55.3
Kuala Lumpur,male,2015,518.3,502.4,15.9,118.4,81.4,3.1,75.3
Labuan,both,2015,41.5,39.5,2.1,22.9,64.5,5,60.4
Labuan,female,2015,14.4,13.7,0.7,17.6,45,4.9,42.2
Labuan,male,2015,27.2,25.8,1.4,5.3,83.6,5.1,78.2
Putrajaya,both,2015,38.9,38.5,0.4,10.8,78.2,1,75
Putrajaya,female,2015,21.4,21.2,0.2,6.7,76.3,0.9,74.4
Putrajaya,male,2015,17.5,17.3,0.2,4.2,80.7,1.2,76.9
Johor,both,2016,1639.1,1580.6,58.5,820.7,66.6,3.6,62.5
Johor,female,2016,576.2,554.2,22,578.4,49.9,3.8,47.1
Johor,male,2016,1062.9,1026.5,36.4,242.3,81.4,3.4,75.9
Kedah,both,2016,910.9,884.3,26.6,508.4,64.2,2.9,61.9
Kedah,female,2016,357.8,345.1,12.8,338.4,51.4,3.6,49.3
Kedah,male,2016,553.1,539.2,13.8,170,76.5,2.5,74.1
Kelantan,both,2016,657.8,632.9,24.9,454.8,59.1,3.8,55.8
Kelantan,female,2016,253.2,242.3,10.9,299.4,45.8,4.3,43
Kelantan,male,2016,404.6,390.6,14,155.4,72.3,3.5,68.5
Melaka,both,2016,400.8,397.3,3.5,211.9,65.4,0.9,63.9
Melaka,female,2016,164.1,162.3,1.8,139.8,54,1.1,52.7
Melaka,male,2016,236.7,235,1.7,72.1,76.6,0.7,74.8
Negeri Sembilan,both,2016,479.7,466.9,12.8,262.1,64.7,2.7,61.5
Pahang,both,2016,710.5,692.2,18.3,366.5,66,2.6,63.4
Pahang,female,2016,252.7,243.1,9.5,243.3,50.9,3.8,48.4
Pahang,male,2016,457.9,449.1,8.7,123.2,78.8,1.9,76.1
Perak,both,2016,1023.1,988.2,34.8,635.5,61.7,3.4,58.9
Perak,female,2016,379.5,362.1,17.4,432.8,46.7,4.6,44.1
Perak,male,2016,643.6,626.1,17.4,202.7,76.1,2.7,73
Perlis,both,2016,103.1,100.1,3,64.4,61.6,2.9,59.6
Perlis,female,2016,38.7,37.3,1.4,44.9,46.3,3.5,44.2
Perlis,male,2016,64.5,62.8,1.7,19.5,76.8,2.6,75.1
Penang,both,2016,845.5,827.4,18.1,379.8,69,2.1,66.8
Penang,female,2016,352,344.9,7.1,256,57.9,2,56
Penang,male,2016,493.5,482.5,11,123.8,79.9,2.2,77.4
Sabah,both,2016,1927.1,1823.7,103.3,793.4,70.8,5.4,66.5
Sabah,female,2016,705.4,662.1,43.3,584,54.7,6.1,51
Sabah,male,2016,1221.7,1161.6,60,209.5,85.4,4.9,80.4
Sarawak,both,2016,1260.1,1218.2,41.9,602.5,67.7,3.3,64.9
Sarawak,female,2016,448,432.4,15.6,429.2,51.1,3.5,48.8
Sarawak,male,2016,812.1,785.8,26.3,173.2,82.4,3.2,79.2
Selangor,both,2016,3325,3217.6,107.4,1156.1,74.2,3.2,71.3
Selangor,female,2016,1398.3,1343.2,55.1,740.3,65.4,3.9,62.4
Selangor,male,2016,1926.7,1874.4,52.2,415.8,82.2,2.7,79.5
Terengganu,both,2016,447.2,428.5,18.6,297.6,60,4.2,56.6
Terengganu,female,2016,159.2,154,5.2,207.8,43.4,3.2,41.6
Terengganu,male,2016,288,274.5,13.5,89.8,76.2,4.7,70.9
Kuala Lumpur,both,2016,855.4,827.2,28.2,400.7,68.1,3.3,63.3
Kuala Lumpur,female,2016,352,339.3,12.6,265.7,57,3.6,53.3
Kuala Lumpur,male,2016,503.4,487.9,15.5,135,78.9,3.1,72.9
Labuan,both,2016,43.6,40.2,3.4,21.9,66.5,7.8,60.3
Labuan,female,2016,15.5,14.1,1.4,16.9,47.8,8.9,42.6
Labuan,male,2016,28.1,26.1,2.1,5,84.9,7.3,78.1
Putrajaya,both,2016,38.9,38.2,0.7,11.2,77.6,1.7,74.3
Putrajaya,female,2016,21.1,20.8,0.3,7,75,1.6,72.5
Putrajaya,male,2016,17.7,17.4,0.3,4.2,80.9,1.9,76.7
Johor,both,2017,1673.8,1616.7,57.1,824.4,67,3.4,63
Johor,female,2017,583.8,562.8,21,579.7,50.2,3.6,47.1
Johor,male,2017,1090,1053.9,36.1,244.7,81.7,3.3,76.9
