state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Johor,both,2002,1259,1222.3,36.7,628.5,66.7,2.9,65.9
Johor,female,2002,441.8,428.3,13.5,472,48.3,3.1,48.6
Johor,male,2002,817.3,794,23.3,156.5,83.9,2.9,81.4
Kedah,both,2002,666.5,645.1,21.4,425.8,61,3.2,61.8
Kedah,female,2002,237.1,229.2,7.9,318.6,42.7,3.3,43.3
Kedah,male,2002,429.4,415.9,13.5,107.2,80,3.1,80.8
Kelantan,both,2002,439.7,422.7,17,305.1,59,3.9,55.5
Kelantan,female,2002,163.1,155.3,7.7,214.4,43.20529801,4.721030043,40.2
Kelantan,male,2002,276.7,267.4,9.3,90.6,75.33351484,3.361040838,71.2
Melaka,both,2002,236.2,229.3,6.9,152.3,60.8,2.9,54.4
Melaka,female,2002,87.128,83.546,3.582,108.312,44.6,4.1,39.6
Melaka,male,2002,149.072,145.803,3.269,44.004,77.2,2.2,69.1
Negeri Sembilan,both,2002,337.2,324.8,12.4,187.5,64.3,3.7,57.3
Pahang,both,2002,419,406.9,12.1,257.8,61.9,2.9,49
Pahang,female,2002,128.2,123.7,4.5,189.6,40.3,3.5,31.9
Pahang,male,2002,290.8,283.2,7.6,68.1,81,2.6,64.2
Perak,both,2002,820.6,788.3,32.3,577.1,58.7,3.9,59.9
Perak,female,2002,284,271.5,12.5,420.8,40.3,4.4,41.4
Perak,male,2002,536.6,516.8,19.8,156.3,77.4,3.7,78.1
Perlis,both,2002,58.8,57,1.8,42.6,58,3.1,44.9
Perlis,female,2002,19.3,18.5,0.8,32.8,37,4,28.4
Perlis,male,2002,39.5,38.5,1,9.8,80.1,2.6,62.1
Penang,both,2002,657.2,643.1,14.2,303.1,68.4,2.2,69.3
Penang,female,2002,259.4,253.9,5.5,226,53.4,2.1,54.5
Penang,male,2002,397.874,389.185,8.689,77.067,83.8,2.2,84.2
Sabah,both,2002,1093.2,1028.8,64.4,556.9,66.3,5.9,62.2
Sabah,female,2002,362.1,338.8,23.3,432.9,45.5,6.4,42.7
Sabah,male,2002,731.1,690,41.1,124,85.5,5.6,80.2
Sarawak,both,2002,955.8,917.7,38.1,443.3,68.3,4,68.7
Sarawak,female,2002,374.3,356.1,18.2,346.2,52,4.9,54.6
Sarawak,male,2002,581.5,561.6,19.9,97.1,85.7,3.4,82.1
Selangor,both,2002,1803.2,1749.9,53.3,971.8,65,3,58.7
Selangor,female,2002,634.7,619,15.7,700.4,47.5,2.5,42.8
Selangor,male,2002,1168.5,1130.9,37.6,271.4,81.14583333,3.217800599,73.6
Terengganu,both,2002,288.9,279.6,9.2,187,60.7,3.2,52.2
Terengganu,female,2002,96.6,92,4.6,137.8,41.2,4.7,35.2
Terengganu,male,2002,192.2,187.6,4.6,49.2,79.6,2.4,68.5
Kuala Lumpur,both,2002,816.9,794.1,22.7,417.4,66.2,2.8,78.4
Kuala Lumpur,female,2002,313.1,303.5,9.6,282.5,52.6,3.1,61.1
Kuala Lumpur,male,2002,503.8,490.6,13.2,134.9,78.9,2.6,95.2
Labuan,both,2002,34,32.9,1.1,17.6,65.9,3.2,68.3
Labuan,female,2002,9.6,9.2,0.4,14.1,40.4,3.9,40.7
Labuan,male,2002,24.4,23.7,0.7,3.5,87.5,2.9,91.5
Johor,both,2003,1315.3,1269.1,46.2,631.2,67.6,3.5,66.5
Johor,female,2003,460.2,442.9,17.3,474.5,49.2,3.8,49
Johor,male,2003,855.1,826.2,28.9,156.7,84.5,3.4,82.3
Kedah,both,2003,680.1,657.7,22.4,408.1,62.5,3.3,61.4
Kedah,female,2003,243.3,235.2,8.1,301.7,44.6,3.3,43.5
Kedah,male,2003,436.9,422.5,14.3,106.4,80.4,3.3,79.7
Kelantan,both,2003,491.6,475.7,15.9,320.2,60.6,3.2,60.4
Kelantan,female,2003,189.2,182.8,6.3,226.4,45.52454283,3.4,45.9
Kelantan,male,2003,302.4,292.8,9.6,93.8,76.32508834,3.174603175,75.4
Melaka,both,2003,280.6,272.7,7.8,166.5,62.8,2.8,62.5
Melaka,female,2003,109.268,105.62,3.648,120.751,47.5,3.3,48.6
Melaka,male,2003,171.291,167.107,4.184,45.778,78.9,2.4,76.5
Negeri Sembilan,both,2003,352.3,340,12.3,184.9,65.6,3.5,58.4
Pahang,both,2003,477.1,460,17.2,280.3,63,3.6,54.1
Pahang,female,2003,147.2,141,6.3,214.7,40.7,4.2,35.5
Pahang,male,2003,329.9,319,10.9,65.5,83.4,3.3,70.5
Perak,both,2003,771.4,734.6,36.8,524.8,59.5,4.8,54.6
Perak,female,2003,263.5,250.5,13,388.4,40.4,5,37.5
Perak,male,2003,507.9,484.2,23.7,136.4,78.8,4.7,71.4
Perlis,both,2003,80.1,76.6,3.5,55.9,58.9,4.4,59.1
Perlis,female,2003,27.3,25.8,1.5,42.5,39.1,5.6,38.9
Perlis,male,2003,52.8,50.8,2,13.4,79.7,3.7,80.3
Penang,both,2003,686.3,674.4,12,342.3,66.7,1.7,71
Penang,female,2003,270.9,266.8,4,248.5,52.2,1.5,56.1
Penang,male,2003,415.44,407.528,7.912,93.803,81.6,1.9,86
Sabah,both,2003,1134.5,1073.1,61.4,571,66.5,5.4,62.5
Sabah,female,2003,383.3,363,20.3,439.6,46.6,5.3,44.1
Sabah,male,2003,751.2,710.1,41.2,131.4,85.1,5.5,79.5
Sarawak,both,2003,946.4,909.9,36.5,419.3,69.3,3.9,66.4
Sarawak,female,2003,349.5,335.1,14.5,321.3,52.1,4.1,50.4
Sarawak,male,2003,596.9,574.8,22,98,85.9,3.7,81.6
Selangor,both,2003,1895.3,1834.2,61,930.4,67.1,3.2,59.2
Selangor,female,2003,688.7,669.3,19.4,668.8,50.7,2.8,44.7
Selangor,male,2003,1206.6,1164.9,41.7,261.7,82.2,3.5,72.8
Terengganu,both,2003,355.1,344.9,10.2,225,61.2,2.9,62.7
Terengganu,female,2003,122.3,118.2,4.1,161.6,43.1,3.3,44
Terengganu,male,2003,232.8,226.7,6.1,63.4,78.6,2.6,80.5
Kuala Lumpur,both,2003,740.3,715.1,25.2,383.9,65.9,3.4,69
Kuala Lumpur,female,2003,286.8,275.7,11.1,274.1,51.1,3.9,54.2
Kuala Lumpur,male,2003,453.5,439.4,14.1,109.8,80.5,3.1,83.1
Labuan,both,2003,33.3,31.8,1.5,14.8,69.2,4.5,64.1
Labuan,female,2003,10.3,9.9,0.4,12.3,45.5,3.8,42.5
Labuan,male,2003,23.1,22,1.1,2.5,90.1,4.8,83.7
Johor,both,2004,1278.8,1232.6,46.2,650.3,66.3,3.6,62.9
Johor,female,2004,441.6,424.2,17.5,485.5,47.6,4,45.8
Johor,male,2004,837.1,808.4,28.7,164.8,83.5,3.4,78.1
Kedah,both,2004,680.3,654.5,25.8,415.3,62.1,3.8,59.7
Kedah,female,2004,253.8,242.3,11.5,304.2,45.5,4.5,43.9
Kedah,male,2004,426.6,412.3,14.3,111.1,79.3,3.4,75.7
Kelantan,both,2004,455.1,436.6,18.5,355.5,56.1,4.1,53.9
Kelantan,female,2004,165,159.2,5.9,244.7,40.27337076,3.575757576,38.9
Kelantan,male,2004,290.1,277.4,12.6,110.8,72.36218508,4.343329886,69.2
Melaka,both,2004,269.5,265.1,4.4,162.2,62.4,1.6,58.9
Melaka,female,2004,100.5,99,1.4,115.3,46.6,1.4,44.1
Melaka,male,2004,169,166.4,2.9,46.8,78.3,1.7,73.7
Negeri Sembilan,both,2004,373.6,360.3,13.2,218.6,63.1,3.5,60.4
Pahang,both,2004,544,526.2,17.8,349.3,60.9,3.3,60.6
Pahang,female,2004,164.8,157.4,7.4,257.6,39,4.5,38.8
Pahang,male,2004,379.1,368.8,10.4,91.8,80.5,2.7,79.7
Perak,both,2004,818.3,791,27.3,554,59.6,3.3,57.5
Perak,female,2004,288.2,276.2,12.1,396.5,42.1,4.2,40.6
Perak,male,2004,530.1,514.8,15.2,157.5,77.1,2.9,74
Perlis,both,2004,76.3,73.8,2.5,56.8,57.3,3.272251309,55.7
Perlis,female,2004,27.2,26.2,1,42.1,39.3,3.8,38.9
Perlis,male,2004,49.1,47.6,1.5,14.7,76.9,3,73.3
Penang,both,2004,636.7,625,11.7,326.8,66.1,1.8,64.3
Penang,female,2004,250.9,246.4,4.5,238,51.3,1.8,50.7
Penang,male,2004,385.8,378.6,7.2,88.8,81.3,1.9,78
Sabah,both,2004,1156.9,1081.7,75.2,605.9,65.6,6.5,60.7
Sabah,female,2004,381.4,353.9,27.5,469.2,44.8,7.2,41.5
Sabah,male,2004,775.5,727.8,47.7,136.7,85,6.2,78.3
Sarawak,both,2004,955.2,918.6,36.6,442.8,68.3,3.8,65.4
Sarawak,female,2004,353.2,339,14.3,333.3,51.5,4,49.9
Sarawak,male,2004,601.9,579.6,22.3,109.6,84.6,3.7,79.9
Selangor,both,2004,2028.1,1973.3,54.7,1017.3,66.6,2.7,61.3
Selangor,female,2004,758.5,739.1,19.5,731.6,50.8,2.6,47.6
Selangor,male,2004,1269.5,1234.3,35.3,285.8,81.6,2.8,74
Terengganu,both,2004,347.9,336.9,11.1,234.3,59.8,3.2,59.6
Terengganu,female,2004,121.1,116,5.1,161.8,42.81146209,4.22729336,42
Terengganu,male,2004,226.8,220.9,5.9,72.6,75.8,2.6,76.4
Kuala Lumpur,both,2004,691.6,671.7,19.9,325.1,68,2.9,63.2
Kuala Lumpur,female,2004,276.4,268.1,8.3,226,55,3,51.5
Kuala Lumpur,male,2004,415.2,403.6,11.6,99.1,80.7,2.8,74.5
Labuan,both,2004,34,32.3,1.7,16.2,67.7,5,63.3
Labuan,female,2004,11.1,10.5,0.6,12.4,47.2,5.2,43.6
Labuan,male,2004,22.9,21.7,1.1,3.8,85.7,4.9,81
Johor,both,2005,1280,1237.1,42.9,693.8,64.9,3.3,61.4
Johor,female,2005,436.2,422.8,13.5,513.1,46,3.1,44.6
Johor,male,2005,843.7,814.3,29.4,180.7,82.4,3.5,76.4
Kedah,both,2005,677.8,652.8,25.1,445.6,60.3,3.7,58.1
Kedah,female,2005,247.1,237.4,9.8,324.8,43.2,4,42.1
Kedah,male,2005,430.7,415.4,15.3,120.8,78.1,3.6,74.2
Kelantan,both,2005,454.2,438.8,15.4,384.3,54.2,3.4,52.7
Kelantan,female,2005,159.1,152.8,6.2,264.3,37.6,3.9,36.3
Kelantan,male,2005,295.2,286,9.2,120,71.1,3.1,69.3
Melaka,both,2005,274.5,271.1,3.4,168.2,62,1.2,58.2
Melaka,female,2005,103.9,102.5,1.5,117.4,47,1.4,44.2
Melaka,male,2005,170.6,168.6,2,50.8,77.1,1.1,72.1
Negeri Sembilan,both,2005,386.7,372.8,13.9,219.5,63.8,3.6,60.9
Pahang,both,2005,542.7,524.7,18,367.8,59.6,3.3,59.2
Pahang,female,2005,156.5,149,7.4,271,36.6,4.8,36
Pahang,male,2005,386.3,375.7,10.6,96.9,80,2.7,79.4
Perak,both,2005,828.8,801.2,27.6,573.9,59.1,3.3,57.1
Perak,female,2005,292.2,280.9,11.3,407.3,41.8,3.9,40.6
Perak,male,2005,536.6,520.3,16.3,166.5,76.3,3,73.1
Perlis,both,2005,76.2,74,2.2,59.6,56.1,2.9,54.7
Perlis,female,2005,27.4,26.7,0.7,43.4,38.7,2.6,38.7
Perlis,male,2005,48.8,47.3,1.5,16.1,75.1,3,71.3
